id,price,team_count,client_id,begin_at,closed_at,service_type,is_accepted
50,27,3,26,2010-07-21,2018-11-30,logo,0
51,34,4,67,2007-07-06,2016-03-18,video,0
52,52,2,44,2008-07-25,2009-10-06,media care,1
53,27,3,69,2009-12-08,2012-10-03,poster,1
54,20,5,66,2009-06-05,2019-12-18,text,1
55,20,5,58,2010-07-27,2011-02-15,text,1
56,45,1,57,2010-04-04,2013-08-22,poster,0
57,70,4,69,2010-01-12,2016-10-29,poster,0
58,65,3,21,2007-07-16,2029-01-03,media care,0
59,70,5,50,2010-03-21,2011-10-15,poster,1
60,53,1,24,2008-08-19,2020-07-19,media care,0
61,32,4,45,2009-07-13,2028-07-04,logo,0
62,53,5,87,2010-03-17,2026-10-21,video,0
63,96,1,59,2010-07-09,2011-08-15,poster,1
64,25,5,36,2009-05-24,2022-02-12,poster,1
65,24,3,52,2008-02-17,2017-07-19,logo,1
66,93,4,78,2009-04-27,2013-08-28,poster,1
67,93,2,76,2010-06-11,2028-02-20,logo,1
68,48,1,64,2009-07-07,2017-02-08,video,1
69,91,4,62,2010-08-06,2024-11-13,media care,0
70,75,1,100,2009-05-01,2011-05-11,text,1
71,41,1,83,2007-10-29,2029-08-20,poster,0
72,83,3,23,2009-12-22,2023-03-18,media care,1
73,35,1,75,2010-05-23,2017-10-22,logo,1
74,67,1,35,2010-04-30,2017-04-26,text,1
75,94,3,34,2009-04-16,2021-04-18,poster,1
76,75,2,76,2008-07-27,2018-02-01,media care,0
77,48,3,62,2009-03-01,2017-08-20,logo,0
78,30,1,100,2010-05-06,2013-01-11,video,0
79,45,1,73,2008-05-27,2026-02-11,text,0
80,98,1,96,2008-05-20,2010-01-09,logo,1
81,27,1,32,2009-03-30,2010-05-13,logo,1
82,44,1,48,2010-07-06,2016-07-04,logo,0
83,51,2,4,2010-05-04,2025-11-03,media care,0
84,100,2,34,2007-09-27,2010-07-02,poster,1
85,55,2,43,2010-06-01,2023-10-14,media care,1
86,70,5,33,2009-06-20,2016-07-25,text,0
87,63,3,31,2008-12-22,2010-03-14,media care,1
88,79,2,64,2010-04-30,2016-06-30,poster,0
89,89,3,39,2008-01-10,2024-04-17,media care,1
90,44,2,92,2007-06-30,2014-05-15,text,1
91,31,5,77,2010-06-16,2021-08-19,logo,1
92,47,4,49,2008-09-11,2010-11-14,poster,0
93,59,4,96,2010-08-20,2014-03-05,poster,0
94,71,4,70,2008-07-13,2029-07-17,poster,1
95,95,1,38,2009-01-27,2021-12-24,video,1
96,20,3,36,2009-10-21,2019-02-25,logo,0
97,56,4,19,2010-05-30,2029-11-04,video,1
98,60,3,29,2010-04-10,2018-01-17,media care,0
99,37,3,90,2008-04-06,2012-01-23,media care,1
100,42,2,69,2008-04-19,2016-02-29,video,1
101,69,5,120,2015-02-16,2025-06-28,text,1
102,99,3,171,2013-04-25,2029-09-27,logo,1
103,99,5,130,2009-02-19,2017-03-09,video,1
104,71,3,98,2015-12-23,2021-06-09,video,0
105,79,2,161,2015-07-28,2017-10-25,media care,0
106,48,2,167,2016-01-04,2026-12-13,text,1
107,34,1,95,2015-12-28,2023-07-02,poster,1
108,34,5,170,2016-03-24,2021-05-15,logo,0
109,84,2,50,2014-12-22,2017-12-24,media care,1
110,52,2,27,2016-03-20,2029-12-11,media care,1
111,88,3,114,2015-10-05,2021-08-23,poster,0
112,58,2,51,2015-05-14,2022-12-08,logo,0
113,76,2,47,2015-03-22,2029-03-09,logo,0
114,72,2,191,2015-12-26,2021-02-25,media care,1
115,74,3,37,2016-03-19,2023-10-13,video,0
116,78,2,100,2016-07-24,2025-08-30,video,1
117,80,3,155,2009-08-29,2024-04-07,video,0
118,84,3,3,2012-10-05,2021-01-04,poster,0
119,82,2,111,2015-04-28,2024-07-02,logo,0
120,75,3,135,2014-07-14,2023-02-08,media care,0
121,33,5,169,2013-12-24,2020-10-04,poster,0
122,97,3,27,2014-10-11,2024-04-10,poster,1
123,58,2,128,2015-04-11,2025-06-13,poster,1
124,37,3,115,2015-03-15,2020-02-15,text,1
125,38,1,90,2016-02-08,2024-11-25,text,1
126,91,2,41,2015-09-26,2020-09-12,logo,0
127,72,5,83,2014-08-07,2027-05-31,video,0
128,21,1,122,2016-07-19,2017-05-14,media care,1
129,82,5,13,2014-06-01,2022-11-20,logo,0
130,99,2,10,2016-09-01,2028-01-22,video,1
131,95,4,79,2012-12-07,2029-02-27,video,0
132,34,5,121,2012-08-13,2019-04-08,poster,0
133,85,1,31,2013-08-09,2016-09-04,poster,0
134,71,1,24,2016-06-29,2025-03-01,logo,1
135,100,4,112,2012-04-24,2016-05-06,logo,0
136,66,3,42,2007-10-06,2011-08-04,media care,1
137,62,4,39,2013-12-02,2016-09-10,poster,0
138,55,3,75,2016-06-26,2025-08-03,poster,1
139,92,4,76,2015-04-22,2017-02-03,logo,0
140,43,1,57,2016-09-14,2025-02-09,media care,0
141,44,2,12,2016-01-11,2026-04-17,logo,0
142,46,4,4,2014-01-08,2026-08-06,media care,1
143,97,1,127,2014-04-12,2028-05-09,media care,0
144,98,3,130,2010-09-15,2017-02-06,video,0
145,96,3,115,2011-06-08,2024-04-20,media care,1
146,71,4,133,2009-09-22,2025-02-12,media care,1
147,25,3,166,2016-01-08,2022-04-17,video,1
148,20,5,81,2015-06-25,2028-09-26,media care,1
149,80,2,48,2015-02-22,2023-07-31,video,0
150,56,3,61,2014-05-12,2020-03-20,media care,1
151,27,5,191,2016-05-09,2021-06-27,video,1
152,31,2,129,2015-12-13,2018-11-07,video,0
153,63,4,156,2015-09-03,2023-11-23,text,0
154,43,3,167,2016-10-02,2027-04-17,text,0
155,29,2,155,2014-09-16,2028-02-28,video,0
156,52,1,68,2014-01-22,2016-04-22,video,1
157,63,1,114,2015-12-18,2024-01-10,video,0
158,82,1,14,2015-06-26,2016-06-08,media care,0
159,24,3,13,2012-08-15,2015-02-03,video,0
160,78,5,75,2008-02-24,2020-05-14,logo,0
161,31,5,133,2016-03-03,2028-05-02,text,0
162,24,1,115,2015-10-03,2019-01-03,logo,1
163,36,4,60,2016-10-12,2023-06-06,media care,1
164,50,3,142,2014-07-14,2024-08-27,media care,1
165,65,3,176,2015-10-14,2023-05-19,media care,1
166,66,5,18,2012-02-21,2022-08-30,text,1
167,74,3,93,2012-09-06,2016-04-21,text,0
168,64,5,36,2016-07-27,2025-07-10,video,1
169,39,1,40,2014-05-07,2023-02-24,video,1
170,86,2,27,2014-04-21,2018-07-01,video,0
171,36,4,36,2015-04-19,2015-12-15,media care,0
172,87,2,14,2015-10-19,2028-05-25,video,0
173,57,1,185,2011-10-29,2012-06-24,poster,1
174,87,3,90,2014-06-21,2020-02-13,media care,0
175,87,2,19,2015-04-15,2024-11-03,poster,0
176,46,2,164,2010-05-05,2013-07-24,poster,0
177,44,5,72,2016-09-09,2024-03-15,logo,0
178,54,1,131,2016-07-19,2024-07-03,media care,1
179,70,4,48,2013-12-12,2017-02-23,logo,1
180,74,3,35,2013-07-29,2028-06-18,text,0
181,70,3,70,2013-05-30,2014-02-14,poster,0
182,86,3,182,2014-03-07,2021-07-22,video,0
183,52,5,1,2008-06-10,2024-02-06,text,0
184,97,5,17,2016-07-07,2026-03-23,logo,0
185,63,4,53,2013-08-24,2029-05-02,text,0
186,81,3,199,2012-03-29,2018-09-10,text,0
187,72,1,83,2012-08-17,2013-06-02,poster,1
188,92,1,141,2014-12-14,2015-08-05,media care,0
189,80,1,74,2010-06-30,2025-01-08,media care,1
190,61,1,165,2013-03-18,2014-07-22,poster,1
191,71,2,19,2011-07-12,2013-09-17,poster,1
192,25,2,139,2013-05-20,2018-02-20,media care,1
193,92,2,72,2016-10-05,2021-10-10,logo,0
194,53,4,73,2016-01-14,2028-01-05,media care,0
195,30,1,104,2016-08-17,2024-05-08,poster,1
196,29,5,196,2013-03-28,2017-08-20,video,0
197,24,4,185,2014-03-03,2023-02-01,media care,1
198,70,4,199,2015-12-15,2020-02-19,video,0
199,25,3,86,2015-08-30,2018-01-03,poster,1
200,65,5,93,2007-11-24,2021-04-30,media care,1
